categorie_de_produit,count
Alimentation,8239
,5520
Automobiles et moyens de déplacement,1225
Bébés-Enfants (hors alimentaire),438
Maison-Habitat,245
"Les personnes qui auraient consommé les « produits » mentionnés ci-dessus et qui présenteraient de la fièvre, isolée ou accompagnée de maux de tête, et des courbatures, sont invitées à consulter leur médecin traitant en lui signalant cette consommation.  Des formes graves avec des complications neurologiques et des atteintes maternelles ou fœtales chez la femme enceinte peuvent également parfois survenir. Les femmes enceintes ainsi que les personnes immunodéprimées et les personnes âgées doivent être particulièrement attentives à ces symptômes. La listériose est une maladie qui peut être grave et dont le délai d'incubation peut aller jusqu'à huit semaines.",228
"Vêtements, Mode, EPI",186
Hygiène-Beauté,166
"Appareils électriques, Outils",151
Autres,144
Sports-loisirs,68
Remboursement,67
"Les toxi-infections alimentaires causées par les salmonelles se traduisent par des troubles gastro-intestinaux (diarrhée, vomissements) d'apparition brutale souvent accompagnés de fièvre et de maux de tête qui surviennent généralement 6h à 72h après la consommation des produits contaminés.  Ces symptômes peuvent être plus prononcés chez les jeunes enfants, les femmes enceintes, les sujets immunodéprimés et les personnes âgées. Les personnes qui auraient consommé ces produits et qui présenteraient ces symptômes sont invitées à consulter leur médecin traitant en lui signalant cette consommation. En l'absence de symptômes dans les 7 jours après la consommation des produits concernés, il est inutile de s'inquiéter et de consulter un médecin. Si le produit doit subir une cuisson avant consommation : la cuisson à cœur des produits (œufs durs, pâtisseries, viandes de volailles…) à +65°C permet de détruire ces bactéries et de prévenir les conséquences d'une telle contamination.",66
"En raison du risque de blessures / effets indésirables suite à l'ingestion de ce produit, par précaution il est recommandé aux personnes qui détiendraient des produits appartenant au(x) lot(s) décrit(s) ci-dessus de ne pas les consommer.",39
"Les Escherichia coli shiga toxinogène (STEC) peuvent entraîner dans la semaine qui suit la consommation de produits contaminés, des diarrhées parfois sanglantes, des douleurs abdominales et des vomissements, accompagnés ou non de fièvre. Ces symptômes peuvent être suivis (5 à 8% des cas) de complications rénales sévères, principalement chez les enfants. Les personnes qui auraient consommé les produits mentionnés ci-dessus et qui présenteraient ce type de symptômes sont invitées à consulter sans délai leur médecin traitant en lui signalant cette consommation ainsi que le lieu et la date d'achat. En l'absence de symptôme dans les 15 jours après la consommation des produits concernés, il est inutile de s'inquiéter et de consulter un médecin. D'une façon générale, les autorités sanitaires rappellent que par précaution pour les populations plus sensibles comme les enfants, les personnes âgées ou immunodéprimées, les femmes enceintes, il est recommandé de cuire à cœur (70°C) les viandes hachées et les produits à base de viande hachée. Il faut également éviter la consommation de lait cru et de produits au lait cru. Il faut préférer les fromages à pâte pressée cuite (type Emmental, Comté, etc.), les fromages fondus à tartiner et les fromages au lait pasteurisé. Il faut éviter également la consommation de produits crus ou insuffisamment cuits à base de farine (pâtes à cookies, pâtes à pizza …). Les végétaux devraient être lavés soigneusement ou épluchés ou cuits avant d'être consommés.",37
Ces produits ont été fabriqués et/ou conservés dans des conditions ne permettant pas d'apporter de garanties sanitaires satisfaisantes. Ces produits sont donc susceptibles de présenter un danger pour la santé des consommateurs.,30
Remboursement Echange,22
Echange,15
Du 05/05/2021 au 10/06/2021,13
Listeria monocytogenes (agent responsable de la listériose),13
Du 01/01/2022 au 29/04/2022,11
Du 01/10/2022 au 04/02/2023,10
Produit à conserver au réfrigérateur,9
Du 01/01/2023 au 09/05/2023,9
Du 01/01/2021 au 31/12/2026,9
Dommages internes,8
"Les Escherichia coli peuvent entraîner dans les 3 jours qui suivent la consommation, des gastro-entérites marquées par des douleurs abdominales et des diarrhées (éventuellement accompagnées de sang), accompagnées ou non de fièvre. Les personnes qui auraient consommé les produits mentionnés ci-dessus et qui présenteraient ce type de symptômes sont invitées à consulter sans délai leur médecin traitant en lui signalant cette consommation et la nature du germe contaminant.",8
Du 11/12/2020 au 19/11/2022,7
"02 mg/kg fixée par le réglement n°149/2008 est dépassée.\"",7
Autre (voir informations complémentaires),7
FR 69.068.013.CE,6
FR-971-03-616-CE,6
Listéria,6
Du 04/05/2021 au 10/06/2021,6
Autres contaminants chimiques,6
Du 01/01/2018 au 22/04/2021,5
Du 14/12/2022 au 23/12/2022,5
"Le botulisme est une maladie rare qui résulte le plus souvent de la consommation d'un aliment contaminé contenant de la toxine botulique produite par Clostridium botulinum. Cette toxine se développe notamment dans les conserves ou les produits de charcuterie de fabrication familiale ou artisanale pour lesquelles le procédé de stérilisation n'a pas été maîtrisé. Les symptômes apparaissent généralement 12 à 72 heures après l'ingestion d'un aliment contaminé, mais ils peuvent se développer plus précocement ou plus tardivement (2 heures jusqu'à 10 jours). L'intoxication botulique est caractérisée par des signes neurologiques : sensation de vision floue, paupières tombantes, troubles de la parole, difficulté à avaler, sécheresse de la bouche, faiblesse musculaire. Des signes digestifs (constipation, vomissements, diarrhée) accompagnent souvent les signes neurologiques.",5
"Les personnes qui auraient consommé les produits mentionnés ci-dessus et qui présenteraient des symptômes de gastro-entérite (vomissements, diarrhées fréquemment accompagnés d'une fièvre modérée), sont invitées à consulter leur médecin traitant en lui signalant cette consommation. Les personnes immunodéprimées doivent être particulièrement attentives à ces symptômes, qui peuvent évoquer une infection par un virus (Norovirus), responsable de gastro-entérites, dont le délai d'incubation peut aller jusqu'à 48 heures.",5
Substances allergisantes non déclarées,5
FR 69.135.001 CE,5
Du 01/06/2021 au 01/10/2023,5
29020090,5
L'analyse de ce lot a montré une teneur en aloe émodine et émodine non conforme.,5
Du 01/05/2018 au 29/07/2021,4
Du 01/12/2019 au 22/09/2023,4
Du 05/03/2020 au 01/02/2022,4
Du 23/10/2020 au 02/11/2022,4
Pas de risques consommateur connu,4
0170960278,4
Equipements de communication,3
Pas de garantie de conservation du produit au delà de,3
non-respect des barèmes de stérilisation qui entraîne un risque de développement de microorganismes pathogènes,3
NA,3
Du 18/10/2019 au 11/01/2022,3
Du 19/08/2022 au 30/08/2022,3
"Rappel de certains lots de produits, suite à la présence  d'oxyde d'éthylène supérieur à la limite autorisée par le règlementation européenne dans un ingredient .",3
Produit à conserver à température ambiante,3
Du 29/02/2024 au 05/03/2024,3
Du 15/10/2019 au 03/12/2021,3
Présence d'oxyde d'éthylène à une teneur supérieure à la législation européenne.,3
Remboursement Autre (voir informations complémentaires),3
Du 26/12/2023 au 04/01/2024,3
FR 68 040 001 CE,3
Suite à une alerte européenne concernant la présence d’oxyde d’éthylène à une teneur supérieure à la limite autorisée dans des lots de gélifiants entrant dans la composition des produits,3
FR 53 094 002 CE,3
Du 03/07/2023 au 13/07/2023,3
Consommation du produit au-delà du 09/11/2022,3
Taux d’Azote basique volatil total (ABVT) supérieur au taux réglementaire.,3
Réparation,3
Risque d'ingestion,3
CE-972-13-011-CE,2
"Nouvel aliment non autorisé au titre du règlement (UE) n°2015/2283 avec une teneur élevée en cannabidiol alors que l'EFSA, en juin 2022, a fait part de l'identification de plusieurs dangers potentiels",2
Risque sérieux pour la santé de l'homme et l'animal.,2
FR 01.159.002 CE,2
Mesure de précaution. Aucun risque pour le consommateur.,2
Le grillage et les matériaux employés ne sont pas conçus pour absorber le moindre impact ni conférer une quelconque protection,2
Du 06/05/2021 au 10/06/2021,2
Du 09/09/2021 au 05/11/2021,2
super langeac,2
Du 19/05/2021 au 02/11/2022,2
Du 23/04/2015 au 25/08/2023,2
Du 12/09/2022 au 20/09/2022,2
"Résultat NO PASS : objectif 30 secondes sur calibre C4C non atteint. L'échec sur ce test démontre un manque d'élasticité de la borne de terre. La sécurité des appareils branchés sur la prise n'étant pas assuré, il y a un risque d'électrocution",2
FR 79-061-001 CE,2
"Les toxi-infections alimentaires causées par les Vibrio vulnificus peuvent se traduire occasionnellement par des troubles gastro-intestinaux bénins chez des individus en bonne santé, mais aussi par des troubles non intestinaux sévères (infection généralisée / septicémie) chez les personnes sensibles ou atteintes d'affections chroniques préexistantes. Par ailleurs, des infections cutanées sont susceptibles de survenir à partir de blessures pré-existantes en cas de manipulation des produits",2
XL/XXL,2
FR 29.125.020 CE,2
FR62160108 CE,2
FR.69.135.001.CE,2
50391004,2
Du 01/08/2019 au 04/05/2021,2
FR 37.184.032,2
"XL/XXL\"",2
Du 19/12/2023 au 29/12/2023,2
Du 10/01/2022 au 20/01/2022,2
Depuis le 01/09/2021,2
"Symptômes temporaires comme des nausées,",2
Du 22/09/2021 au 04/10/2021,2
Du 01/05/2022 au 31/03/2023,2
Du 01/01/2022 au 07/04/2022,2
Du 07/10/2022 au 26/10/2022,2
Du 16/03/2022 au 29/07/2022,2
"Ferme Earl louet 2 allée du chêne vert 36180 Pellevoisin.\"",2
PLANET PLONGEE,2
Du 26/03/2021 au 18/06/2021,2
Présence de salmonelle,2
FR 94.065.537 CE,2
Du 20/06/2018 au 15/03/2023,2
FR.26.362.001 CE,2
Du 07/09/2022 au 31/08/2023,2
Jusqu'au 28/04/2023,2
Du 27/09/2021 au 05/10/2021,2
Du 01/07/2020 au 22/06/2021,2
"vendu à l'unité,conditionné dans une boite à bûche patissière",2
FERME DE LA FOSSE A L EAU,2
Du 01/08/2022 au 09/08/2022,2
Du 29/12/2022 au 29/12/2022,2
Du 01/10/2019 au 31/08/2021,2
FR 62160108 CE,2
Ne plus consommer Rapporter le produit au point de vente,2
XL/XXL les produits affectés ont le CPN BT1380108XLXXL associé à l'un des numéros de série suivant:,2
Du 16/12/2021 au 11/01/2022,2
Du 01/05/2021 au 25/10/2021,2
Salmonella spp (agent responsable de la salmonellose),2
Du 26/05/2021 au 03/06/2021,2
listéria,2
Du 20/07/2023 au 21/07/2023,2
Du 18/07/2021 au 22/07/2021,2
Du 03/06/2022 au 16/06/2022,2
Du 27/09/2021 au 10/11/2021,2
0969366936,2
FR 44.207.001 CE,2
Du 05/09/2019 au 02/12/2021,2
Du 14/02/2023 au 23/02/2023,2
Dépassement des limites autorisées de pesticides,2
ML/LG les produits affectés ont le CPN BT1380110ML associé à l'un des numéros de série suivant:,2
Du 16/12/2022 au 04/01/2023,2
langue,2
FR 11-009-001,2
FR 22.389.003.CE,2
ML/LG,2
ML/LG les produits affectés ont le CPN BT1380108ML associé à l'un des numéros de série suivant:,2
FR.25.056.058.CE,2
Du 17/11/2023 au 18/12/2023,2
5,2
Du 30/07/2021 au 05/09/2021,2
Concentration d'oxyde d'éthylène supérieure à la réglementation dans l'un des ingrédients,2
XL/XXL les produits affectés ont le CPN BT1380110XLXXL associé à l'un des numéros de série suivant:,2
Du 04/03/2024 au 04/04/2024,2
Danger pour l'utilisateur,2
FR 22-321-008 CE,2
Du 04/02/2022 au 03/12/2022,2
75 113 006 CE,2
Autre risque,2
Les matériaux employés ne sont pas conçus pour absorber le moindre impact ni conférer une quelconque protection.,2
Du 16/06/2020 au 02/11/2022,2
Du 09/06/2023 au 30/06/2023,2
FR 11.076.050 CE,2
Produit à conserver au congélateur,2
FR 73 114 001 CE,2
Du 01/06/2023 au 22/10/2023,2
Du 04/02/2021 au 06/08/2021,2
"Bacs de 0,5L",2
Présence de Listéria monocytogenes dans une matière première,2
Il est possible d’ouvrir le couvercle du cuiseur sous pression pendant qu’il est sous pression et le cuiseur sous pression peut se déformer. Type d'opérateur économique auquel la/les mesure(s) a/ont été ordonnée(s): Fabricant,2
FR-59-165-030 CE,2
Grossiste - Rayon traditionnel GMS - Fromager crémier - et commerçant ambulant,2
Du 06/07/2022 au 10/11/2022,2
Boîte carton,2
Jusqu'au 29/07/2021,2
FR 63 113 081 CE,1
Du 01/02/2020 au 31/10/2022,1
Risque de défaut de fabrication sur le produit Cool Surf modèle SAIL SUP 10.4  pouvant causer un décollement des coutures au gonflage et/ou une fuite d’air lors de l’utilisation.,1
CAMOMILLE DOUCE 500g,1
Du 03/11/2021 au 16/11/2021,1
Du 01/03/2023 au 31/05/2023,1
Du 01/02/2022 au 29/09/2023,1
Du 21/09/2021 au 07/12/2021,1
Du 05/10/2021 au 14/12/2021,1
Sac de 3kg,1
Du 08/11/2022 au 10/11/2022,1
Du 26/01/2023 au 07/02/2023,1
Depuis le 04/07/2022,1
Du 01/08/2019 au 30/11/2019,1
Peut-être mortel en cas d’ingestion et de pénétration voies respiratoires,1
Du 09/03/2020 au 22/06/2021,1
Du 13/12/2021 au 16/12/2021,1
Du 01/09/2021 au 10/05/2022,1
Du 15/07/2019 au 08/06/2022,1
Du 16/12/2022 au 29/12/2022,1
Depuis le 01/01/2023,1
"Dans de rares cas, le module bleu peut surchauffer, commencer à fumer et faire fondre le luminaire. La cellule lithium-ion de l'appareil peut prendre feu et/ou exploser. Risque de brûlures et autres blessures externes.",1
Du 05/11/2021 au 27/04/2022,1
Du 16/10/2023 au 19/12/2023,1
Du 26/05/2020 au 07/07/2021,1
FR 22.225.001 CE,1
"La raison de ce rappel est la présence d’oxyde d’éthylène dans la gomme de guar, qui est utilisée en",1
Du 16/02/2021 au 14/10/2021,1
"Lors d’un contrôle qualité, STIHL a constaté que les gants mentionnés sont susceptibles de ne pas respecter les limites légales d'hydrocarbures aromatiques polycycliques (HAP).",1
"Britax Römer a identifié un problème de sécurité potentiel : un espace peut se former entre la poignée et la coque du siège du BABY-SAFE 5Z, généralement d'un seul côté. Risque potentiel de détachement de la poignée.",1
Du 06/03/2024 au 12/03/2024,1
Du 19/04/2021 au 11/06/2021,1
Du 02/09/2021 au 31/10/2021,1
Présence de salmonelles.,1
Du 20/09/2022 au 21/09/2022,1
Du 20/12/2022 au 23/02/2023,1
CLOS MARCEL ET FILS,1
e2*2007/46*0534*04,1
Du 01/12/2020 au 06/05/2021,1
Du 01/07/2021 au 02/10/2021,1
Du 25/10/2021 au 17/11/2022,1
Du 26/06/2023 au 03/07/2023,1
Boudin noir (2) 220g vendu au libre service en sous vide,1
Du 12/05/2021 au 28/05/2021,1
FR 76.658.003 CE,1
Le risque est lié au calcul du temps écoulé lors de la plongée.,1
Risque d' ingestion,1
"etc...). Il s'agit d'un article promotionnel.\"",1
Depuis le 03/03/2021,1
Du 28/10/2019 au 30/07/2021,1
Du 17/01/2022 au 26/01/2022,1
Du 12/08/2022 au 29/09/2022,1
https://rappel.conso.gouv.fr/document/9fcb2886-df2c-4085-afc5-6246748d3b29/Interne/ListeDesProduits,1
Taux d'histamine dans le produit supérieur au taux réglementaire.,1
Du 01/01/2020 au 31/10/2023,1
FR 72 132 002 CE,1
Depuis le 17/02/2022,1
"mangue/fruits de la passion.\"",1
Du 01/10/2019 au 21/09/2022,1
Risque de présence de salmonelle,1
Du 21/10/2022 au 15/02/2023,1
Du 07/05/2022 au 31/05/2023,1
Du 19/01/2024 au 22/01/2024,1
0634158799044,1
Du 20/04/2021 au 30/04/2021,1
"RISQUE ALLERGIQUE présence de linalool et contient un mélange de methylchloroisothiazolinone et de methylisothiazolinone,conservateurs qui ne peuvent être utilisés dans un produit sans rincage",1
Du 02/11/2022 au 25/11/2022,1
Du 14/09/2021 au 12/10/2021,1
Du 06/03/2019 au 06/03/2022,1
Intoxication Risque environnemental,1
DEPASSEMENT DU SEUIL DE SECURITE,1
FR.45.307.001,1
Du 01/01/2021 au 31/03/2021,1
Depuis le 30/06/2021,1
Le produit fini fabriqué est non-conforme,1
Jusqu'au 22/07/2021,1
Jusqu'au 09/11/2022,1
Du 09/02/2023 au 14/02/2023,1
Du 20/06/2018 au 31/12/2022,1
Depuis le 01/02/2020,1
Du 19/05/2023 au 02/02/2024,1
"Le risque de blessure est celui conséquent à une chute, et au risque de se blesser avec les bords coupants générés par la rupture du tube.",1
Du 25/05/2022 au 25/05/2022,1
FR 32426037 CE,1
"désorientation voire amnésie).\"",1
teneur en oxyde d'éthyène supérieure supérieure à la limite réglementaire,1
Du 25/04/2022 au 29/04/2022,1
Depuis le 30/08/2022,1
HENRY l'hippo (ref: 20802006V),1
Du 03/11/2022 au 18/11/2022,1
"code article 590\"",1
Incendie,1
https://rappel.conso.gouv.fr/image/009aca32-dab2-4299-9344-5348b8fa9da5.jpg,1
Du 27/09/2021 au 01/10/2021,1
Du 01/01/2022 au 08/02/2023,1
1L X8,1
Du 11/03/2024 au 18/03/2024,1
"Après une incubation de 1 semaine à 1 mois, l'infection à sa phase aiguë se manifeste par des symptômes non spécifiques et qui peuvent être discrets : fièvre isolée ou syndrome pseudo grippal associant fièvre, douleurs articulaires et musculaires, mal de tête, fatigue. Plus rarement, des atteintes testiculaires (orchite), neurologiques (méningite) ou articulaires (arthrites) sont possibles. Une forme chronique peut apparaître après plusieurs semaines ou mois sous forme d'infections localisées, en particulier aux articulations. Si le produit doit subir une cuisson avant consommation : la cuisson à coeur des produits à +65°C permet de détruire les bactéries Brucella et de prévenir les conséquences d'une telle contamination.",1
"BAMAPPRO SAS\"",1
Du 05/07/2023 au 20/07/2023,1
Du 28/11/2023 au 12/12/2023,1
Du 04/05/2021 au 10/05/2021,1
Du 19/03/2021 au 16/06/2021,1
https://rappel.conso.gouv.fr/document/87cb9ca0-c19a-4caa-8af9-c5c6dace27b1/Interne/ListeDesDistributeurs,1
Du 07/02/2022 au 15/06/2022,1
Le cadmium et le plomb ont des effets très toxiques sur l'organisme.,1
FR 38.051.001 CE,1
Du 18/05/2021 au 01/06/2021,1
Présence d'oxyde d'éthylène  à  une  teneur  supérieure  à  la  limite  maximum  réglementaire dans  un  produit  utilisé comme  stabilisant dans  les fabrications,1
Du 10/09/2021 au 09/10/2021,1
Aucun risque pour le consommateur,1
Non conforme et dangereux,1
https://rappel.conso.gouv.fr/document/0161caf9-5f64-4e3c-81b7-ae62ff125687/Interne/ListeDesDistributeurs,1
Du 03/02/2023 au 29/01/2024,1
Du 01/04/2022 au 14/04/2022,1
Du 31/05/2022 au 31/05/2022,1
0633248662,1
Il existe un risque de brûlure ou d’intoxication,1
Du 13/05/2023 au 19/06/2023,1
Risqué d’étouffement,1
Du 01/02/2020 au 31/08/2021,1
Du 20/12/2023 au 20/12/2023,1
Depuis le 22/03/2021,1
Du 09/08/2021 au 05/01/2022,1
Risque faible - Le produit peut surchauffer et entraîner une brûlure potentielle de la peau en cas de contact.,1
Du 23/09/2021 au 30/09/2022,1
Du 01/01/2019 au 01/06/2023,1
Ingestion de petites pièces par un enfant,1
Du 18/01/2024 au 25/01/2024,1
"Précaution suite rappel DX0089 MARTY MAT : Il est possible que la structure du casque n'amortisse pas suffisamment les impacts à des températures extrêmes en cas de chute. Le cas échéant, le produit ne répond pas aux standards ECE-22.05.",1
Du 15/02/2023 au 22/02/2023,1
Du 20/02/2023 au 22/02/2023,1
ANALYSE AYANT MONTREE LA PRESENCE DE PHTALATES,1
Risque de chute pouvant provoquer des blessures.,1
Du 03/11/2022 au 19/01/2023,1
Jusqu'au 05/05/2023,1
Du 01/01/2016 au 28/07/2021,1
FR 87.065.001 CE,1
Du 01/02/2023 au 02/02/2023,1
Ce rappel fait suite à un risque de présence de sulfites non indiqué sur l'étiquetage du produit,1
9 BR,1
Défaut d’étanchéité de l’emballage,1
FR 62 160 703 CE,1
Du 21/07/2015 au 19/09/2022,1
Du 21/09/2022 au 21/02/2023,1
Présence d'oxyde d'éthylène en quantité dépassant les limites réglementaires,1
ES 10.02669/SA CE,1
Risque d'étouffement avec le sachet plastique d'emballage.,1
Du 01/07/2017 au 13/01/2023,1
Relooking Minceur,1
Détection d’E. coli O157:H7,1
Du 28/06/2023 au 04/08/2023,1
Du 01/12/2023 au 14/12/2023,1
Du 05/01/2021 au 07/06/2021,1
Du 01/08/2021 au 13/10/2021,1
Du 27/05/2020 au 02/12/2021,1
Du 18/08/2023 au 18/08/2023,1
Du 09/09/2021 au 05/10/2021,1
Du 01/03/2021 au 09/10/2021,1
Vitesse de propagation de la flamme sur le textile du chapeau est supérieure à 1cm/s (Risque de brûlures),1
Du 24/05/2023 au 01/06/2023,1
Du 01/09/2022 au 04/10/2023,1
https://rappel.conso.gouv.fr/document/be70d5de-017f-48b1-a9e3-a25d03f263cc/Interne/ListeDesDistributeurs,1
Contamination de produits par des bactéries E.COLI STEC et lien épidémiologique avec des cas de SHU pédiatriques en PACA  et OCCITANIE.,1
https://rappel.conso.gouv.fr/document/97146dde-ebf9-43c7-9236-f07621b623eb/Interne/ListeDesDistributeurs,1
